y7 y8 y9 y10 ms count
0 0 0 0 0   237
1 0 0 0 0    24
0 1 0 0 0    16
1 1 0 0 0     6
0 0 1 0 0    15
1 0 1 0 0     3
0 1 1 0 0     7
1 1 1 0 0     5
0 0 0 1 0    10
1 0 0 1 0     3
0 1 0 1 0     2
1 1 0 1 0     2
0 0 1 1 0     4
1 0 1 1 0     2
0 1 1 1 0     3
1 1 1 1 0    11
0 0 0 0 1   118
1 0 0 0 1     7
0 1 0 0 1    11
1 1 0 0 1     4
0 0 1 0 1     8
1 0 1 0 1     3
0 1 1 0 1     6
1 1 1 0 1     4
0 0 0 1 1     6
1 0 0 1 1     3
0 1 0 1 1     1
1 1 0 1 1     2
0 0 1 1 1     2
1 0 1 1 1     1
0 1 1 1 1     4
1 1 1 1 1     7
